P1,141000,2,0,0,0,2,1,1,0,0,4
P2,141000,0,2,1,0,0,2,1,0,0,0
P3,94000,0,0,1,1,0,0,0,1,1,5
P4,117500,1,0,0,1,0,1,1,1,0,4
P5,94000,0,0,0,0,1,2,0,0,1,6
P6,94000,0,1,0,1,0,0,0,1,1,6
P7,94000,0,0,1,0,1,0,0,1,1,4
P8,94000,0,0,0,0,0,1,1,2,0,2
P9,164500,3,1,1,0,0,1,1,0,0,2
P10,141000,0,2,1,2,0,0,0,1,0,1
P11,141000,1,0,0,3,0,0,2,0,0,1
P12,117500,0,1,0,0,3,0,0,1,0,6
P13,94000,0,0,0,0,1,1,1,0,1,5
P14,117500,0,2,0,0,2,0,0,0,1,4
P15,141000,1,0,0,4,0,0,0,1,0,0
P16,141000,0,2,1,0,0,2,1,0,0,0
P17,117500,0,0,3,0,0,0,1,1,0,6
P18,94000,0,0,0,0,0,0,3,0,1,1
P19,188000,5,2,0,0,0,1,0,0,0,4
P20,164500,1,4,0,0,1,0,1,0,0,1
P21,94000,0,1,0,1,0,0,0,0,2,1
